pred_fun,sim_fun,k1,k2,lmb,lev_th,mean_err,std_err,max_err,mean_time
basePred,pearsonSimilarity,5,,,,0.5635227678334016,0.5445942159650402,2.777196388440401,0.11970616817474365
basePred,pearsonSimilarity,10,,,,0.5080079389854758,0.5294559028975666,2.777196388440401,0.12021639347076415
basePred,pearsonSimilarity,15,,,,0.5161327663399189,0.5301463063817825,2.777196388440401,0.11981611251831055
basePred,pearsonSimilarity,20,,,,0.5004959275904342,0.5384707614070033,2.777196388440401,0.11962892532348633
basePred,pearsonSimilarity,25,,,,0.5127932765379325,0.5387394312234147,2.777196388440401,0.11898265361785888
basePred,pearsonSimilarity,30,,,,0.5130099329729888,0.540606471905268,2.777196388440401,0.1211448335647583
