pred_fun,sim_fun,k1,k2,lmb,lev_th,mean_err,std_err,max_err,mean_time
recursivePred,pearsonSimilarity,20,10,0.1,1,0.4966399605709402,0.4721437469421901,1.8171161986633866,1.6756062364578248
recursivePred,pearsonSimilarity,20,10,0.2,1,0.49164331791955695,0.4631032116309036,1.8831938006934186,1.6746854066848755
recursivePred,pearsonSimilarity,20,10,0.30000000000000004,1,0.49237065200210794,0.46013245530299596,1.9411003159561968,1.6694248247146606
recursivePred,pearsonSimilarity,20,10,0.4,1,0.4948686822615016,0.45903376796587836,1.9922631318336093,1.6658819246292114
recursivePred,pearsonSimilarity,20,10,0.5,1,0.4978193706781552,0.45891684899655755,2.037795467030983,1.6649121141433716
recursivePred,pearsonSimilarity,20,10,0.6000000000000001,1,0.5009416872721238,0.459211540518177,2.07857829934494,1.6732364559173585
recursivePred,pearsonSimilarity,20,10,0.7000000000000001,1,0.5040482330986334,0.4597306537851445,2.1153179265037134,1.6676667547225952
recursivePred,pearsonSimilarity,20,10,0.8,1,0.5071178685854584,0.4603062576340644,2.148587215827067,1.6563062810897826
recursivePred,pearsonSimilarity,20,10,0.9,1,0.510006455470068,0.46100005367193386,2.178855692013767,1.66097825050354
recursivePred,pearsonSimilarity,20,10,1.0,1,0.5126832922142239,0.46179786512836585,2.2065118347118315,1.6766670894622804
