pred_fun,sim_fun,k1,k2,lmb,lev_th,mean_err,std_err,max_err,mean_time
recursivePred,pearsonSimilarity,15,5,0.3,1,0.42363284810203977,0.3511539645305461,1.3963289834600254,1.1509327268600464
recursivePred,pearsonSimilarity,15,10,0.3,1,0.4240990017784209,0.36139827711502226,1.3929457414696405,1.644236569404602
recursivePred,pearsonSimilarity,15,15,0.3,1,0.4260699744220777,0.36768881166650547,1.3826452883294547,2.1012039375305176
recursivePred,pearsonSimilarity,15,20,0.3,1,0.42904422534855813,0.36952651739290987,1.3981066763878105,2.5667310905456544
