pred_fun,sim_fun,sim_th1,sim_th2,lmb,lev_th,mean_err,std_err,max_err,mean_time
recursivePred,pearsonSimilarity,0.0,0.1,1,1,0.5175097189045972,0.44800019710142835,2.36627236870829,3.0462047624588013
recursivePred,pearsonSimilarity,0.1,0.1,1,1,0.5472123163408162,0.4751750015552127,2.505954327864772,2.5425425481796267
recursivePred,pearsonSimilarity,0.2,0.1,1,1,0.54631026086365,0.4742547531417245,2.4907006957411406,2.47326500415802
recursivePred,pearsonSimilarity,0.30000000000000004,0.1,1,1,0.5470567944512419,0.4748567809484725,2.43222459056201,2.4441628360748293
recursivePred,pearsonSimilarity,0.4,0.1,1,1,0.5439946989747084,0.47411264266247016,2.451693855700908,2.4518693494796753
recursivePred,pearsonSimilarity,0.5,0.1,1,1,0.5327140966433815,0.4600483379570488,2.3971488443104754,2.3959941625595094
recursivePred,pearsonSimilarity,0.6000000000000001,0.1,1,1,0.5253141730895955,0.45233323554812876,2.4445095448087666,2.6247697687149047
recursivePred,pearsonSimilarity,0.7000000000000001,0.1,1,1,0.5379241633479116,0.46460260014545346,2.3558208070458844,2.21753737449646
