pred_fun,user1_sat,user2_sat,user3_sat
groupAveragePred,1.0,1.0,0.4
groupLeastMiseryPred,0.8888888888888888,0.8333333333333334,0.6
customRecommendations,0.7777777777777778,0.6111111111111112,0.6
sequentialRecommendations,0.7222222222222222,0.6666666666666666,0.65
