pred_fun,sim_fun,k1,k2,lmb,lev_th,mean_err,std_err,max_err,mean_time
basePred,pearsonSimilarity,5,,,,0.5399531761314682,0.6262156340512467,4.0,0.12454600811004639
basePred,pearsonSimilarity,10,,,,0.5122635943106906,0.6076235702988481,4.0,0.12264391422271728
basePred,pearsonSimilarity,15,,,,0.5044021152717479,0.6069902322476232,4.0,0.12414881706237793
basePred,pearsonSimilarity,20,,,,0.5015685608718283,0.6193922864988366,4.0,0.12527127742767333
basePred,pearsonSimilarity,25,,,,0.5001351040425098,0.6174407300849957,4.0,0.12635512351989747
basePred,pearsonSimilarity,30,,,,0.50544853648717,0.6180604464365912,4.0,0.12717313766479493
